Command,Subject,Target
go to the dresser bring me what under the tea spoon,me,spoon
Bring me the largest object you find in the cabinet,object,cabinet
I would like for you to give the cereal to the tub.,cereal,tub
"On the nightstand there is a napkin, please take it",it,nightstand
Move the napkin from the nightstand to the cabinet.,napkin,cabinet
Take the cookies from the sink and give them to me.,cookies,me
Go bring me the largest item from the coffee table.,item,table
Bring the glass that is in the bedroom to the sink.,glass,sink
Bring me the object above the peach on the counter.,object,counter
Find the pickles near the desk and bring them to me,pickles,me
Bring me the heaviest object in the cutlery drawer.,object,drawer
Can you bring me the lightest item in the microwave?,item,microwave
get the item behind the shampoo that is on the stove,item,stove
Please hand me the largest objects from the armchair,objects,armchair
Bring me the smallest things from the dresser thanks,things,dresser
Go to the side table and bring me the largest items.,items,me
bring me the heaviest objects from the coffee table.,objects,table
please give me the privilege most items from the bar,privilege,bar
Can you please get the pickles and give them to Alex,pickles,Alex
Pick up the choco flakes and put it on the fireplace,flakes,fireplace
bring me the left most object from the center table.,object,table
Bring me the thing on the left on that middle table.,thing,table
Get the teaspoon from the cupboard and give it to me.,teaspoon,me
could you go to the cupboard and get me the tea spoon,spoon,me
Deliver me the item behind the apple from the dresser,item,dresser
give napkin to the person on the left in the bathroom,napkin,bathroom
I'd like the thing on top of the tea from the bathtub,thing,bathtub
Give the bown to the person in the living room waving.,bown,room
Please bring me the lightest thing on the coffee table,thing,table
"The heaviest object that is in bed, pro bring it to me",it,me
Move the chips from the bathroom cabinet to the drawer,chips,drawer
Put the towel that is by the fridge on the towel rack.,towel,rack
I'd like the heaviest things from the towel rack please,things,rack
Can you go to the bar and give me the smallest objects?,objects,me
Please bring me the thinnest object from the dishwasher,object,dishwasher
Can you please fetch the large object from the tv couch,object,couch
Hand me the object that is on the left side of the sofa,object,sofa
Bring me the biggest objects that are on the side table,objects,table
find the biggest object on the cabinet and hand it to me,object,me
Go to the side table and give the largest objects to me.,objects,me
please bring me the bigest item from the couch by the tv,item,tv
"go to the bookshelf, get the shampoo and bring it to me.",shampoo,me
Please bring me the largest objects from the side table.,objects,table
Can you please place the cereal to the bathroom cabinet.,cereal,cabinet
Get me the object on top of the tea spoon at the cabinet,object,cabinet
please could you give me the lighter object of the board,object,board
put the tea spoon on the counter which is in the bathtub,spoon,bathtub
find the fridge and bring me the object above the cereal,fridge,cereal
go to the dishwasher and get the smallest item out of it,item,it
"Go to the bookshelf, get the shampoo, and bring it back.",shampoo,bookshelf
Please give me the thinnest objects from the dishwasher.,objects,dishwasher
Get the pickles and give it to Taylor at the baby chair.,pickles,chair
Bring me the item that is above the knife on the dresser.,item,dresser
"Go to the cupboard, get the teaspoon, and bring it to me.",teaspoon,me
Hand me the object from the dresser that weighs the least,object,dresser
I'd like the thing that is most to the left in the fridge,thing,fridge
Can you please get the big dish and put it in the shower?,dish,shower
Get the bowl from the bedroom and take it to the cabinet.,bowl,cabinet
hand me whatever weighs the least from the dresser please,me,dresser
Please hand me the heaviest object in the cutlery drawer.,object,drawer
Please get the milk from the microwave and give it to me.,milk,me
get the thinnest object from the fridge and give it to me,object,me
Pass me the object at the dining table left of the banana,object,banana
please present to me the smallest item from the dishwasher,item,dishwasher
Please go to the sink and bring me the largest item in it.,item,it
Please give me the object to the far left from the fridge.,object,fridge
Please can I have the smallest thing from the coffee table,thing,table
Bring the coke from the side table to Jamie at the counter,coke,counter
bring me the thing to the left of the peach in the cabinet,thing,cabinet
Find the largest item from the counter and let me have it.,item,counter
"I want the chips from the chair, can you bring them to me?",chips,me
Find the biggest item from the cabinet and bring it to me.,item,me
Please tell me the largest objects in the bathroom cabinet,objects,bathroom
Go hand me the item on the bathroom cabinet under the coke,item,coke
Retrieve what is to the right of the glass by the tv couch,,couch
bring me the object in the  bathroom cabinet under the coke,object,coke
robot go to the bed and get the knife to the cutlery drawer,knife,drawer
Grab the bag on the bookshelf and put it on the side table.,bag,table
"I want the choco flakes from the freezer, can you get them?",flakes,freezer
Please bring me the largest item from the couch near the TV,item,TV
Please go to the freezer and bring me the least heavy item.,item,me
Put the choco flakes to the left person in the dining room.,flakes,room
Pick up the pickle and hand it to Taylor in the baby chair.,pickle,chair
put the peach on the drawer which is in the bathroom cabinet,peach,bathroom
Give me the item from the chair that is on top of the chips.,item,chips
Please bring the choco flakes to the person I am pointing at,flakes,person
take the spaghetti from the drawer to morgan in the bath tub,spaghetti,bath
Retrieve the pasta from the nightstand and deliver it to me.,pasta,me
bring the tuna fish from the sofa to hayden by the mircowave,fish,mircowave
Please bring the thinnest objects to me that are on the bar.,objects,bar
Go to the living room and give the bowl to the waving person,bowl,person
bring the bag at the nightstand to Taylor at the side table.,bag,table
Robin is by the cupboard bring him the peach from the stove.,peach,stove
find the smallest object at the fireplace and give it to me.,object,me
Please take the glass from the bedroom and put it in the sink,glass,sink
pass me the object from the baby chair right of the chocolate,object,chocolate
Please move the towel that is on the fridge to the towel rack,towel,rack
"Go to the counter, find the largest object and hand it to me.",object,me
"Robot, please bring me the heaviest things from the cupboard.",things,cupboard
go to the toilet and get the heaviest item and bring it to me,item,me
"In the cupboard, can you please give me the heaviest objects?",objects,me
take the teaspoon to the person in the bathroom pointing left,teaspoon,pointing
I want you to bring me the thinnest things from the bar thanks,things,bar
Please get me the object from the fridge that is the thinnest.,object,fridge
Go take the peach from the microwave and put it in the bathtub,peach,bathtub
Please get the object from the bowl behind the washing machine,object,machine
Get me the object that is on the counter behind the chocolate.,object,chocolate
Can you give me the item above the shampoo from the side table,item,table
Find the biggest object on the counter and bring it over to me,object,me
Please bring me the object on top of the tea from the bathtub.,object,bathtub
Bring me the object on the side table that's above the shampoo,object,shampoo
go get me the object on the washing machine that is on the left,object,left
Find the biggest objects at the coffee table and give it to me.,objects,me
Give taylor the pasta from the coffee table. She's at the stove,pasta,stove
Get the banana in the cutlery drawer and put it on the tv couch,banana,couch
"Bring Peyton the apple from the cabinet, he's at the towel rack",apple,rack
Give me the item on the left hand side of the soap from the sofa,item,sofa
Pick p the choc flakes and bring them to Michael in the kitchen.,p,kitchen
go to the drawer and take the spaghetti to morgan at the bathtub,spaghetti,bathtub
"Go to the bathtub, find the teaspoon, and put it on the counter.",teaspoon,counter
Find the item behind the bowl from the drawer and give it to me.,item,me
Put the coke on the bookshelf after you get it from the bedroom.,coke,bedroom
Please hand me the thing to the left of the chocolate on the sofa,thing,sofa
Please give me the thing that is  behind the bowl from the drawer,thing,drawer
"Give Hayden the tuna that is on the sofa, he is by the microwave.",tuna,microwave
Please get the cereal and take it to the cabinet in the bathroom.,cereal,bathroom
give me the object that is left of the choco flakes from the sofa,object,sofa
Can you hand me that thing above the peach that's on the counter?,me,counter
Go to the desk and grab the heaviest objects and give them to me.,objects,me
I want the leftmost object that is in the bathroom cabinet please,,cabinet
Take the spaghetti from the towel rack  and bring it to the shower,spaghetti,shower
Bring the napkin to the person that is on the left in the bathroom.,napkin,bathroom
Please transfer the banana from the cutlery drawer to the tv couch.,banana,couch
Please go to the dishwasher with the pringles from the dining room.,,room
Can you please hand me the thing on the far right on my nightstand?,thing,nightstand
Take the toothpaste out of the dishwasher and put it on the drawer.,toothpaste,drawer
Please bring me the object on the dresser that is behind the apple.,object,apple
Open the cabinet and give me the item on top of the teaspoon please,cabinet,teaspoon
Take the chips from the bathroom cabinet and put them on the drawer.,chips,drawer
Give the side bag at the night stand to the Taylor at the side table,bag,table
"Can you go to the freezer, find the napkin and hand it to me please.",napkin,me
Please bring me the object placed at the right most from the nightst,object,nightst
Take the coca that is in the kitchen and take it to the baby's chair,coca,chair
Please bring me the thing that is furthest to the right on the stove,thing,stove
Please pick up the banana between the cutlery drawer and the tv couch,banana,drawer
Can you go to the dresser and get the object behind the apple for me.,object,me
Go to the bedroom and get the pringles and take them to the fireplace.,pringles,fireplace
retrieve the water from the armchair take it to hayden in the bathroom,water,bathroom
Get the knife out of the dishwasher and bring it to Jordan at the bar.,knife,bar
Find the smallest object from the dish washing area and give it to me.,object,me
GET THE BAG FROM THE MICROWAVE AND GIVE IT TO ALEX AT THE DINING TABLE.,BAG,TABLE
Take the napkin from the microwave and bring it to Michael at the chair,napkin,chair
Please bring me the item that is behind the shampoo thats on the stove.,item,stove
Please bring me the object on the counter that is furthest to the right,object,right
Bring the cookies off of the towel rack to Peyton at the cutlery drawer,cookies,drawer
Please take this tea spoon to the person in the bathroom who points left,spoon,bathroom
"make your way to the cabinet, get the choco flakes and bring them to me.",way,me
Place the right most difficult object from the baby chair into my hands.,object,hands
Take the tea spoon to the bathroom and give it to the person on the left,spoon,left
Can you take the pasta out of the freezer and put it on the center table,pasta,table
"Find the bathroom cabinet, then find the peach, and set it in the drawer",cabinet,drawer
take the bag from the microwave and give it to Alex at the dining table.,bag,table
Go to the towel rack and give me the heaviest objects you can see there.,objects,me
Move the apple from the cabinet and bring it to peyton by the towel rack,apple,rack
Please give this box to the person standing to the right of the bathroom,box,bathroom
Please bring me the object on the left most side of the washing machine.,object,machine
Get the toothpaste on the bookshelf and take it to Peyton at the bathtub.,toothpaste,bathtub
"Robot, can you please give me the object from the chair, above the chips?",object,chips
Robot please give me the item that is left of the chocolate from the sofa,item,sofa
robot please go to the counter and get me the object behind the chocolate,object,chocolate
"I need the object to the left of the peach in the cabinet, bring it to me",object,me
Bring the pasta from the coffee table over to Taylor who is at the stove.,pasta,stove
can you bring be the thing from the coffee table thats on top of the glass,,glass
Give the melon to the person in the bedroom who is raising their right arm,melon,bedroom
Please hand me the object to the left of that banana from the dining table,object,table
Take the melon to the person in the bedroom who has their right arm raised.,melon,bedroom
"there is an object under the spoon by the fireplace, can you bring it to me",it,me
find the choco flakes and bring them to the left person of the dining table,flakes,table
Get the tuna fish from the couch and bring it to Hayden near the microwave.,fish,microwave
Can you please take the knife from the bed and put it in the kitchen drawer?,knife,drawer
could you bring me the object in the fridge that is the furthest to the left,object,left
"go to the cutlery drawer, find the banana and take it to the tv couch please",banana,couch
Carefully pick up the napkin from the nightstand and carry it to the cabinet.,napkin,cabinet
Please find the object placed at the right most of the bar and give it to me.,most,me
Go to the bathroom cabinet and bring me the object at the right of the melon.,object,melon
"Go to the bathroom cabinet, find the item under the coke, and bring it to me.",item,me
"Please go to the drawer, get the spaghetti and take it to Morgan at the  tub.",spaghetti,tub
"The biggest objects in the washing machine, could you please bring them to me",them,me
Find the person in the bedroom raising their left arm and give them an apple.,person,them
Go to the towel rack and locate the object under the milk then bring it to me.,object,me
go to the coffee table where you will find a pear and bring it to Tracy in bed,pear,bed
"go to the armchair , take water ,and deliver it to Hayden who is in the bathtub",water,bathtub
"Go to the cupboard, find the objects that weigth the most, and give them to me.",objects,me
grab the chocolate off the dresser and deliver to Jordan who is at the wardrobe,chocolate,wardrobe
Grab the bag from the nightstand and take it to Taylor at the table on the side.,bag,side
Please bring the chocolate that is on the dresser over to Jordan by the wardrobe,chocolate,wardrobe
hand the text box to the human that is pointing to the right inside the bathroom,box,bathroom
There's an object behind the bowl by the washing machine. Can you give it to me?,it,me
take this glass to the kitchen and hand it to the person raising their right arm,glass,person
Please go to the bathroom cabinet and get me the object to the right of the melon.,object,melon
"Open the fridge, take out the object that is furthest to the left and hand it to me",fridge,me
Go to the cabinet and get the apple and give it to Peyton who is at the towel rack.,apple,rack
Retrieve the chocolate from the dresser and hand it to Jordan who is at the wardrobe,chocolate,wardrobe
Go to the dining table and locate the object left of the banana then bring it to me.,object,me
"At the right of the beer from the fireplace is an object, please hand it over to me.",it,me
please find the object to the right of the glass near the tv couch and bring it to me,object,me
"On the left side of the choco flakes from the sofa is an object, please hand it to me.",it,me
Find the object that is under the knife on top of the washing machine and give it to me.,object,me
Please clean up the Pringles on the dining room table and take the can to the dishwasher,Pringles,dishwasher
"There's an object to the right of the knife on the dining table, can you bring it to me?",it,me
Please take the toothpaste from the bookshelf and take it to Peyton who is at the bathtub,toothpaste,bathtub
There is a person in the kitchen that is raising their right arm. Bring the glass to them.,arm,them
"There is an object located above the cereal from the fridge, can you please bring it to me",it,me
Go to the table and bring me the items from the center of the table that are the thinnest.,items,table
Please go to the cutlery drawer and pick up the banana and take it to the couch by the TV.,banana,TV
could you please get the toothpaste off the bookshelf and bring it to peyton at the bathtub,toothpaste,bathtub
Go to the kitchen and look for the person raising their right arm then hand them the glass.,arm,them
"Go to the bathroom cabinet and bring me the item that is at the right of the melon, please.",item,melon
"When you see the person raising their right arm in the bedroom, give that person the melon.",arm,person
go to the bathtub and find the small dish and then deliver it to Robin who is at the cabinet,dish,cabinet
"Head to the counter, locate the pickles, and bring them to Hayden over at the cutlery drawer",pickles,drawer
Go to the counter and bring the pickles that are there to Hayden who is at the cutlery drawer,pickles,drawer
