id,utterance,logical_form
83,"Could you find the <object> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <room> "" ) ) )
"
84,"Robot please lead <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
85,"Please take the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
86,"Could you please meet <name> and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
87,"Please give the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
88,"Robot please take <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
89,"Could you please meet <name> and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
90,"Robot please meet <name> and accompany them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
91,"Please bring the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
92,"Please grasp the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
93,"say <whattosay> to <name> at the <location>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) )
"
94,"Could you please meet <name> and guide them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
95,"Could you accompany <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
96,"Robot please find the <object> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <room> "" ) ) )
"
97,"find a boy in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
98,"Robot please Pour some cereals into the bowl
","( pour ( lambda $1 e ( is_a $1 "" cereal "" ) ) ( lambda $1 e ( is_a $1 "" bowl "" ) ) )
"
99,"Tell me the name of the person in the <room>
","( say ( lambda $1 e ( lambda $2 e ( person $2 ) ( name $2 $1 ) ( at $2 "" <room> "" ) ) ) )
"
100,"Could you put the <object> on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
101,"Robot please escort <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
102,"Could you please meet <name> and escort them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
103,"Please locate three <category> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <category> "" ) ( at $1 "" <room> "" ) ) 3 )
"
104,"find a man in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
105,"meet <name> at the <location> and follow them
","( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) )
"
106,"Could you take the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
107,"find a girl in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
108,"find <name> in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <room> "" ) ) )
"
109,"Tell me how many people in the <room> are men
","( say ( count ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) ) )
"
110,"find a man in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
111,"Could you give the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
112,"get the <object> and put it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
113,"find a boy in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
114,"locate a man in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
115,"Robot please locate the <object> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <room> "" ) ) )
"
116,"give me the largest object from the <location>
","( bring ( lambda $1 e ( largest $1 ) ) "" <location> "" )
"
117,"Could you place the <object> on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
118,"find a girl in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
119,"Tell me how many people in the <room> are boys
","( say ( count ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) ) )
"
120,"Tell me how many people in the <room> are male
","( say ( count ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) ) )
"
121,"find a woman in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
122,"give me the biggest object from the <location>
","( bring ( lambda $1 e ( biggest $1 ) ) "" <location> "" )
"
123,"Tell me the gender of the person in the <room>
","( say ( lambda $1 e ( lambda $2 e ( person $2 ) ( gender $2 $1 ) ( at $2 "" <room> "" ) ) ) )
"
124,"take the <object> and put it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
125,"Please look for three <category> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <category> "" ) ( at $1 "" <room> "" ) ) 3 )
"
126,"bring the <object> to <name> at the <location>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) )
"
127,"locate a man in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
128,"locate <name> in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <room> "" ) ) )
"
129,"Could you please guide <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
130,"grasp the <object> and put it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
131,"follow <name> from the <location> to the <room>
","( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) )
"
132,"bring me the largest object from the <location>
","( bring ( lambda $1 e ( largest $1 ) ) "" <location> "" )
"
133,"Tell me how many people in the <room> are women
","( say ( count ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) ) )
"
134,"find a woman in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
135,"locate a boy in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
136,"locate a girl in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
137,"Robot please get the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
138,"give me the lightest object from the <location>
","( bring ( lambda $1 e ( lightest $1 ) ) "" <location> "" )
"
139,"give me the smallest object from the <location>
","( bring ( lambda $1 e ( smallest $1 ) ) "" <location> "" )
"
140,"Could you please meet <name> and accompany them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
141,"find a person in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
142,"answer a <question> to <name> at the <location>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) )
"
143,"give me the thinnest object from the <location>
","( bring ( lambda $1 e ( thinnest $1 ) ) "" <location> "" )
"
144,"Tell me the name of the person at the <location>
","( say ( lambda $1 e ( lambda $2 e ( person $2 ) ( name $2 $1 ) ( at $2 "" <location> "" ) ) ) )
"
145,"deliver the <object> to <name> at the <location>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) )
"
146,"give me the left most object from the <location>
","( bring ( lambda $1 e ( leftmost $1 "" <location> "" ) ) )
"
147,"bring me the heaviest object from the <location>
","( bring ( lambda $1 e ( heaviest $1 ) ) "" <location> "" )
"
148,"locate someone in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
149,"Robot please look for the <object> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <room> "" ) ) )
"
150,"bring me the smallest object from the <location>
","( bring ( lambda $1 e ( smallest $1 ) ) "" <location> "" )
"
151,"find a boy in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
152,"bring me the lightest object from the <location>
","( bring ( lambda $1 e ( lightest $1 ) ) "" <location> "" )
"
153,"bring me the thinnest object from the <location>
","( bring ( lambda $1 e ( thinnest $1 ) ) "" <location> "" )
"
154,"Could you pick up the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
155,"Tell me how many people in the <room> are female
","( say ( count ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) ) )
"
156,"locate a woman in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
157,"locate a girl in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
158,"look for a man in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
159,"Could you please escort <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
160,"Robot please give the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
161,"find a man in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
162,"locate a person in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
163,"Tell me how many people in the <room> are sitting
","( say ( count ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) ) )
"
164,"bring me the left most object from the <location>
","( bring ( lambda $1 e ( leftmost $1 "" <location> "" ) ) )
"
165,"locate someone in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
166,"lead <name> from the <location> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
167,"grasp the <object> and place it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
168,"Robot please bring the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
169,"look for a man in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
170,"look for a boy in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
171,"find <name> in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <room> "" ) ) )
"
172,"Robot please place the <object> on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
173,"give me the right most object from the <location>
","( bring ( lambda $1 e ( rightmost $1 "" <location> "" ) ) )
"
174,"Could you look for three <category> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <category> "" ) ( at $1 "" <room> "" ) ) 3 )
"
175,"Robot please grasp the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
176,"pick up the <object> and put it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
177,"give me the biggest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( biggest $1 ) ) "" <location> "" )
"
178,"find someone in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
179,"go to the <location> , meet <name> , and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
180,"look for a girl in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
181,"look for <name> in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <room> "" ) ) )
"
182,"look for a woman in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
183,"locate a person in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
184,"look for someone in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
185,"go to the <location> , meet <name> , and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
186,"get the <object> from the <room> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <room> "" ) ) "" <location> "" )
"
187,"Robot please locate three <category> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <category> "" ) ( at $1 "" <room> "" ) ) 3 )
"
188,"Tell me how many people in the <room> are standing
","( say ( count ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) ) )
"
189,"give <object> to the <gesture> person in the <room>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
190,"go to the <room> , find a man , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
191,"bring me the biggest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( biggest $1 ) ) "" <location> "" )
"
192,"give me the thinnest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( thinnest $1 ) ) "" <location> "" )
"
193,"Could you please accompany <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
194,"go to the <room> , find a boy , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
195,"give me the smallest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( smallest $1 ) ) "" <location> "" )
"
196,"Robot please pick up the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
197,"find a person in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
198,"locate a girl in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
199,"look for someone in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
200,"give me the heaviest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( heaviest $1 ) ) "" <location> "" )
"
201,"look for a person in the <room> and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
202,"locate <name> in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <room> "" ) ) )
"
203,"look for a woman in the <room> and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
204,"Could you please get the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
205,"pick up the <object> and place it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
206,"give the <object> from the <room> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <room> "" ) ) "" <location> "" )
"
207,"Tell me how many people in the <room> are lying down
","( say ( count ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) ) )
"
208,"go to the <room> , find a man , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
209,"look for a man in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
